Index,Start_Ticks,Start_Time,Pitch,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
1,86,0.1791666667,D4,42,720,1.5,raw_midi,1,
2,264,0.55,D5,55,225,0.46875,raw_midi,2,
3,430,0.8958333333,A#4,63,203,0.4229166667,raw_midi,2,
4,616,1.283333333,B4,56,238,0.4958333333,raw_midi,2,
5,798,1.6625,F#4,47,175,0.3645833333,raw_midi,2,
6,975,2.03125,G4,46,1259,2.622916667,raw_midi,3,
7,978,2.0375,G2,34,1252,2.608333333,raw_midi,1,
8,1166,2.429166667,B2,39,1065,2.21875,raw_midi,2,
9,1363,2.839583333,D3,41,870,1.8125,raw_midi,3,
10,1518,3.1625,D4,57,715,1.489583333,raw_midi,1,
11,1704,3.55,D5,60,535,1.114583333,raw_midi,2,
12,1855,3.864583333,A#4,64,378,0.7875,raw_midi,2,
13,2030,4.229166667,B4,61,210,0.4375,raw_midi,2,
14,2201,4.585416667,F#4,53,179,0.3729166667,raw_midi,2,
15,2386,4.970833333,G4,55,1238,2.579166667,raw_midi,3,
16,2585,5.385416667,B3,52,1035,2.15625,raw_midi,1,
17,2750,5.729166667,D4,50,869,1.810416667,raw_midi,3,
18,2924,6.091666667,E4,58,704,1.466666667,raw_midi,1,
19,3101,6.460416667,E5,70,525,1.09375,raw_midi,2,
20,3275,6.822916667,B4,72,353,0.7354166667,raw_midi,2,
21,3451,7.189583333,C5,78,244,0.5083333333,raw_midi,2,
22,3616,7.533333333,G#4,69,167,0.3479166667,raw_midi,2,
23,3801,7.91875,A4,67,1369,2.852083333,raw_midi_overlapped,3,
24,3803,7.922916667,G2,41,1385,2.885416667,raw_midi,1,
25,3993,8.31875,C3,48,1196,2.491666667,raw_midi,2,
26,4155,8.65625,E3,54,1035,2.15625,raw_midi,3,
27,4315,8.989583333,E4,67,874,1.820833333,raw_midi,1,
28,4500,9.375,E5,66,689,1.435416667,raw_midi,2,
29,4658,9.704166667,B4,77,531,1.10625,raw_midi,2,
30,4844,10.09166667,C5,83,345,0.71875,raw_midi,2,
31,5008,10.43333333,G#4,77,181,0.3770833333,raw_midi,2,
32,5170,10.77083333,A4,75,4,0.008333333333,raw_midi,3,
