Index,Start_Ticks,Start_Time,Pitch,Pitch_MIDI,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
0,960,2.0,G3,55,45,192,0.4,raw_midi,,
1,960,2.0,B3,59,45,192,0.4,raw_midi,,
2,960,2.0,D4,62,45,192,0.4,raw_midi,,
3,960,2.0,B4,71,48,480,1.0,raw_midi,,
4,1200,2.5,G3,55,47,192,0.4,raw_midi,,
5,1200,2.5,B3,59,47,192,0.4,raw_midi,,
6,1200,2.5,D4,62,47,192,0.4,raw_midi,,
7,1440,3.0,G3,55,49,192,0.4,raw_midi,,
8,1440,3.0,B3,59,49,192,0.4,raw_midi,,
9,1440,3.0,D4,62,49,192,0.4,raw_midi,,
10,1440,3.0,D5,74,49,192,0.4,raw_midi,,
11,1680,3.5,G3,55,51,192,0.4,raw_midi,,
12,1680,3.5,B3,59,51,192,0.4,raw_midi,,
13,1680,3.5,D4,62,51,192,0.4,raw_midi,,
14,1680,3.5,D5,74,51,192,0.4,raw_midi,,
15,1920,4.0,G3,55,54,192,0.4,raw_midi,,
16,1920,4.0,B3,59,54,192,0.4,raw_midi,,
17,1920,4.0,D4,62,54,192,0.4,raw_midi,,
18,1920,4.0,G5,79,54,192,0.4,raw_midi,,
19,2160,4.5,G3,55,56,192,0.4,raw_midi,,
20,2160,4.5,B3,59,56,192,0.4,raw_midi,,
21,2160,4.5,D4,62,56,192,0.4,raw_midi,,
22,2160,4.5,G5,79,56,192,0.4,raw_midi,,
23,2400,5.0,G3,55,58,192,0.4,raw_midi,,
24,2400,5.0,B3,59,58,192,0.4,raw_midi,,
25,2400,5.0,D4,62,58,192,0.4,raw_midi,,
26,2400,5.0,B5,83,66,384,0.8,raw_midi,,
27,2640,5.5,G3,55,61,192,0.4,raw_midi,,
28,2640,5.5,B3,59,61,192,0.4,raw_midi,,
29,2640,5.5,D4,62,61,192,0.4,raw_midi,,
30,2880,6.0,G3,55,68,192,0.4,raw_midi,,
31,2880,6.0,C4,60,68,192,0.4,raw_midi,,
32,2880,6.0,D4,62,68,192,0.4,raw_midi,,
33,2880,6.0,F#4,66,68,192,0.4,raw_midi,,
34,2880,6.0,D6,86,71,120,0.25,raw_midi,,
35,3000,6.25,C6,84,65,120,0.25,raw_midi,,
36,3120,6.5,G3,55,63,192,0.4,raw_midi,,
37,3120,6.5,C4,60,63,192,0.4,raw_midi,,
38,3120,6.5,D4,62,63,192,0.4,raw_midi,,
39,3120,6.5,F#4,66,63,192,0.4,raw_midi,,
40,3120,6.5,D6,86,62,120,0.25,raw_midi,,
41,3240,6.75,C6,84,59,120,0.25,raw_midi,,
42,3360,7.0,G3,55,61,192,0.4,raw_midi,,
43,3360,7.0,C4,60,61,192,0.4,raw_midi,,
44,3360,7.0,D4,62,61,192,0.4,raw_midi,,
45,3360,7.0,F#4,66,61,192,0.4,raw_midi,,
46,3360,7.0,A5,81,55,192,0.4,raw_midi,,
47,3600,7.5,G3,55,59,192,0.4,raw_midi,,
48,3600,7.5,C4,60,59,192,0.4,raw_midi,,
49,3600,7.5,D4,62,59,192,0.4,raw_midi,,
50,3600,7.5,F#4,66,59,192,0.4,raw_midi,,
51,3840,8.0,G3,55,60,192,0.4,raw_midi,,
52,3840,8.0,C4,60,60,192,0.4,raw_midi,,
53,3840,8.0,D4,62,60,192,0.4,raw_midi,,
54,3840,8.0,F#4,66,60,192,0.4,raw_midi,,
55,3840,8.0,D6,86,61,120,0.25,raw_midi,,
56,3960,8.25,C6,84,58,120,0.25,raw_midi,,
57,4080,8.5,G3,55,54,192,0.4,raw_midi,,
58,4080,8.5,C4,60,54,192,0.4,raw_midi,,
59,4080,8.5,D4,62,54,192,0.4,raw_midi,,
60,4080,8.5,F#4,66,54,192,0.4,raw_midi,,
61,4080,8.5,D6,86,55,120,0.25,raw_midi,,
62,4200,8.75,C6,84,53,120,0.25,raw_midi,,
63,4320,9.0,G3,55,52,192,0.4,raw_midi,,
64,4320,9.0,C4,60,52,192,0.4,raw_midi,,
65,4320,9.0,D4,62,52,192,0.4,raw_midi,,
66,4320,9.0,F#4,66,52,192,0.4,raw_midi,,
67,4320,9.0,A5,81,50,192,0.4,raw_midi,,
68,4560,9.5,G3,55,50,192,0.4,raw_midi,,
69,4560,9.5,C4,60,50,192,0.4,raw_midi,,
70,4560,9.5,D4,62,50,192,0.4,raw_midi,,
71,4560,9.5,F#4,66,50,192,0.4,raw_midi,,
72,4800,10.0,G3,55,48,192,0.4,raw_midi,,
73,4800,10.0,B3,59,48,192,0.4,raw_midi,,
74,4800,10.0,D4,62,48,192,0.4,raw_midi,,
75,4800,10.0,B4,71,52,480,1.0,raw_midi,,
76,5040,10.5,G3,55,49,192,0.4,raw_midi,,
77,5040,10.5,B3,59,49,192,0.4,raw_midi,,
78,5040,10.5,D4,62,49,192,0.4,raw_midi,,
79,5280,11.0,G3,55,51,192,0.4,raw_midi,,
80,5280,11.0,B3,59,51,192,0.4,raw_midi,,
81,5280,11.0,D4,62,51,192,0.4,raw_midi,,
82,5280,11.0,D5,74,51,192,0.4,raw_midi,,
83,5520,11.5,G3,55,53,192,0.4,raw_midi,,
84,5520,11.5,B3,59,53,192,0.4,raw_midi,,
85,5520,11.5,D4,62,53,192,0.4,raw_midi,,
86,5520,11.5,D5,74,53,192,0.4,raw_midi,,
87,5760,12.0,G3,55,54,192,0.4,raw_midi,,
88,5760,12.0,B3,59,54,192,0.4,raw_midi,,
89,5760,12.0,D4,62,54,192,0.4,raw_midi,,
90,5760,12.0,G5,79,54,192,0.4,raw_midi,,
91,6000,12.5,G3,55,56,192,0.4,raw_midi,,
92,6000,12.5,B3,59,56,192,0.4,raw_midi,,
93,6000,12.5,D4,62,56,192,0.4,raw_midi,,
94,6000,12.5,G5,79,56,192,0.4,raw_midi,,
95,6240,13.0,G3,55,58,192,0.4,raw_midi,,
96,6240,13.0,B3,59,58,192,0.4,raw_midi,,
97,6240,13.0,D4,62,58,192,0.4,raw_midi,,
98,6240,13.0,B5,83,66,384,0.8,raw_midi,,
99,6480,13.5,G3,55,59,192,0.4,raw_midi,,
100,6480,13.5,B3,59,59,192,0.4,raw_midi,,
101,6480,13.5,D4,62,59,192,0.4,raw_midi,,
102,6720,14.0,G3,55,66,192,0.4,raw_midi,,
103,6720,14.0,C4,60,66,192,0.4,raw_midi,,
