Index,Start_Ticks,Start_Time,Pitch,Pitch_MIDI,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
0,960,2,G3,55,45,192,0.4,raw_midi,4,
1,960,2,B3,59,45,192,0.4,raw_midi,4,
2,960,2,D4,62,45,192,0.4,raw_midi,4,
3,960,2,B4,71,48,480,1,raw_midi,1,
4,1200,2.5,G3,55,47,192,0.4,raw_midi,4,
5,1200,2.5,B3,59,47,192,0.4,raw_midi,4,
6,1200,2.5,D4,62,47,192,0.4,raw_midi,4,
7,1440,3,G3,55,49,192,0.4,raw_midi,4,
8,1440,3,B3,59,49,192,0.4,raw_midi,4,
9,1440,3,D4,62,49,192,0.4,raw_midi,4,
10,1440,3,D5,74,49,192,0.4,raw_midi,3,
11,1680,3.5,G3,55,51,192,0.4,raw_midi,4,
12,1680,3.5,B3,59,51,192,0.4,raw_midi,4,
13,1680,3.5,D4,62,51,192,0.4,raw_midi,4,
14,1680,3.5,D5,74,51,192,0.4,raw_midi,4,
15,1920,4,G3,55,54,192,0.4,raw_midi,4,
16,1920,4,B3,59,54,192,0.4,raw_midi,4,
17,1920,4,D4,62,54,192,0.4,raw_midi,4,
18,1920,4,G5,79,54,192,0.4,raw_midi,4,
19,2160,4.5,G3,55,56,192,0.4,raw_midi,4,
20,2160,4.5,B3,59,56,192,0.4,raw_midi,4,
21,2160,4.5,D4,62,56,192,0.4,raw_midi,4,
22,2160,4.5,G5,79,56,192,0.4,raw_midi,4,
23,2400,5,G3,55,58,192,0.4,raw_midi,4,
24,2400,5,B3,59,58,192,0.4,raw_midi,4,
25,2400,5,D4,62,58,192,0.4,raw_midi,4,
26,2400,5,B5,83,66,384,0.8,raw_midi,4,
27,2640,5.5,G3,55,61,192,0.4,raw_midi,4,
28,2640,5.5,B3,59,61,192,0.4,raw_midi,4,
29,2640,5.5,D4,62,61,192,0.4,raw_midi,4,
30,2880,6,G3,55,68,192,0.4,raw_midi,4,
31,2880,6,C4,60,68,192,0.4,raw_midi,4,
32,2880,6,D4,62,68,192,0.4,raw_midi,4,
33,2880,6,F#4,66,68,192,0.4,raw_midi,4,
34,2880,6,D6,86,71,120,0.25,raw_midi,1,
35,3000,6.25,C6,84,65,120,0.25,raw_midi,2,
36,3120,6.5,G3,55,63,192,0.4,raw_midi,4,
37,3120,6.5,C4,60,63,192,0.4,raw_midi,4,
38,3120,6.5,D4,62,63,192,0.4,raw_midi,4,
39,3120,6.5,F#4,66,63,192,0.4,raw_midi,4,
40,3120,6.5,D6,86,62,120,0.25,raw_midi,2,
41,3240,6.75,C6,84,59,120,0.25,raw_midi,2,
42,3360,7,G3,55,61,192,0.4,raw_midi,4,
43,3360,7,C4,60,61,192,0.4,raw_midi,4,
44,3360,7,D4,62,61,192,0.4,raw_midi,4,
45,3360,7,F#4,66,61,192,0.4,raw_midi,4,
46,3360,7,A5,81,55,192,0.4,raw_midi,3,
47,3600,7.5,G3,55,59,192,0.4,raw_midi,4,
48,3600,7.5,C4,60,59,192,0.4,raw_midi,4,
49,3600,7.5,D4,62,59,192,0.4,raw_midi,4,
