Index,Start_Ticks,Start_Time,Pitch,Pitch_MIDI,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
0,1800,3.75,G5,79,91,840,1.75,raw_midi,,
1,1920,4.0,G3,55,76,720,1.5,raw_midi,,
2,1920,4.0,B3,59,76,720,1.5,raw_midi,,
3,1920,4.0,D4,62,76,720,1.5,raw_midi,,
4,2640,5.5,F#5,78,79,120,0.25,raw_midi,,
5,2760,5.75,E5,76,77,120,0.25,raw_midi,,
6,2880,6.0,D5,74,75,120,0.25,raw_midi,,
7,3000,6.25,D#5,75,74,120,0.25,raw_midi,,
8,3120,6.5,E5,76,72,120,0.25,raw_midi,,
9,3240,6.75,B4,71,70,120,0.25,raw_midi,,
10,3360,7.0,D5,74,68,120,0.25,raw_midi,,
11,3480,7.25,C5,72,66,120,0.25,raw_midi,,
12,3600,7.5,B4,71,65,120,0.25,raw_midi,,
13,3720,7.75,A4,69,61,120,0.25,raw_midi,,
14,3840,8.0,G4,67,59,360,0.75,raw_midi,,
15,4680,9.75,B3,59,43,480,1.0,raw_midi,,
16,4680,9.75,D4,62,43,480,1.0,raw_midi,,
17,4680,9.75,G4,67,42,480,1.0,raw_midi,,
18,4800,10.0,G2,43,42,120,0.25,raw_midi,,
19,4800,10.0,G3,55,42,120,0.25,raw_midi,,
20,5160,10.75,B3,59,45,480,1.0,raw_midi,,
21,5160,10.75,D4,62,45,480,1.0,raw_midi,,
22,5160,10.75,B4,71,46,480,1.0,raw_midi,,
23,5280,11.0,G2,43,44,120,0.25,raw_midi,,
24,5280,11.0,G3,55,44,120,0.25,raw_midi,,
25,5640,11.75,B3,59,41,480,1.0,raw_midi,,
26,5640,11.75,D4,62,41,480,1.0,raw_midi,,
27,5640,11.75,G4,67,41,480,1.0,raw_midi,,
28,5760,12.0,G2,43,42,120,0.25,raw_midi,,
29,5760,12.0,G3,55,42,120,0.25,raw_midi,,
30,6600,13.75,B3,59,55,480,1.0,raw_midi,,
31,6600,13.75,D4,62,55,480,1.0,raw_midi,,
32,6600,13.75,G4,67,53,480,1.0,raw_midi,,
33,6720,14.0,G2,43,54,120,0.25,raw_midi,,
34,6720,14.0,G3,55,54,120,0.25,raw_midi,,
35,7080,14.75,D4,62,57,480,1.0,raw_midi,,
36,7080,14.75,G4,67,57,480,1.0,raw_midi,,
37,7080,14.75,B4,71,57,480,1.0,raw_midi,,
38,7080,14.75,D5,74,57,480,1.0,raw_midi,,
39,7200,15.0,G2,43,56,120,0.25,raw_midi,,
40,7200,15.0,G3,55,56,120,0.25,raw_midi,,
41,7560,15.75,B3,59,54,480,1.0,raw_midi,,
42,7560,15.75,D4,62,54,480,1.0,raw_midi,,
43,7560,15.75,G4,67,54,480,1.0,raw_midi,,
44,7680,16.0,G2,43,55,120,0.25,raw_midi,,
45,7680,16.0,G3,55,55,120,0.25,raw_midi,,
46,8520,17.75,B3,59,78,480,1.0,raw_midi,,
47,8520,17.75,D4,62,78,480,1.0,raw_midi,,
48,8520,17.75,G4,67,78,480,1.0,raw_midi,,
49,8520,17.75,B4,71,78,480,1.0,raw_midi,,
50,8640,18.0,G2,43,78,120,0.25,raw_midi,,
