Index,Start_Ticks,Start_Time,Pitch,Pitch_MIDI,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
0,4,0.008333333333,B4,71,94,960,2.0,raw_midi,,
1,4,0.008333333333,D5,74,94,960,2.0,raw_midi,,
2,4,0.008333333333,F5,77,94,960,2.0,raw_midi,,
3,4,0.008333333333,G5,79,94,960,2.0,raw_midi,,
4,4,0.008333333333,B5,83,103,960,2.0,raw_midi,,
5,235,0.489583333333,G#4,68,73,132,0.275,raw_midi,,
6,361,0.752083333333,G4,67,73,132,0.275,raw_midi,,
7,477,0.99375,F4,65,79,132,0.275,raw_midi,,
8,603,1.25625,D4,62,72,132,0.275,raw_midi,,
9,721,1.502083333333,D#4,63,72,132,0.275,raw_midi,,
10,840,1.75,D4,62,71,132,0.275,raw_midi,,
11,958,1.995833333333,B3,59,79,132,0.275,raw_midi,,
12,1084,2.258333333333,G3,55,72,132,0.275,raw_midi,,
13,1204,2.508333333333,G#3,56,72,132,0.275,raw_midi,,
14,1323,2.75625,G3,55,70,132,0.275,raw_midi,,
15,1436,2.991666666667,F3,53,79,132,0.275,raw_midi,,
16,1564,3.258333333333,D3,50,71,132,0.275,raw_midi,,
17,1682,3.504166666667,D#3,51,71,132,0.275,raw_midi,,
18,1800,3.75,D3,50,68,132,0.275,raw_midi,,
19,1918,3.995833333333,B2,47,79,132,0.275,raw_midi,,
20,2035,4.239583333333,G2,43,71,132,0.275,raw_midi,,
21,2156,4.491666666667,G#2,44,71,132,0.275,raw_midi,,
22,2279,4.747916666667,G2,43,69,132,0.275,raw_midi,,
23,2396,4.991666666667,F2,41,79,132,0.275,raw_midi,,
24,2516,5.241666666667,D2,38,71,132,0.275,raw_midi,,
25,2645,5.510416666667,D#2,39,71,132,0.275,raw_midi,,
26,2759,5.747916666667,D2,38,68,132,0.275,raw_midi,,
27,2876,5.991666666667,C2,36,76,158,0.329166666667,raw_midi,,
28,2995,6.239583333333,G1,31,69,158,0.329166666667,raw_midi,,
29,3115,6.489583333333,C2,36,70,158,0.329166666667,raw_midi,,
30,3239,6.747916666667,G1,31,68,158,0.329166666667,raw_midi,,
31,3360,7.0,C2,36,74,158,0.329166666667,raw_midi,,
32,3360,7.0,G#4,68,93,360,0.75,raw_midi,,
33,3360,7.0,D#5,75,93,360,0.75,raw_midi,,
34,3360,7.0,F5,77,93,360,0.75,raw_midi,,
35,3360,7.0,G#5,80,102,360,0.75,raw_midi,,
36,3481,7.252083333333,G1,31,71,158,0.329166666667,raw_midi,,
37,3601,7.502083333333,C2,36,75,158,0.329166666667,raw_midi,,
38,3720,7.75,G4,67,87,120,0.25,raw_midi,,
39,3720,7.75,G5,79,95,120,0.25,raw_midi,,
40,3721,7.752083333333,G1,31,74,132,0.275,raw_midi,,
41,3836,7.991666666667,B1,35,79,120,0.25,raw_midi,,
42,3840,8.0,D5,74,96,960,2.0,raw_midi,,
43,3840,8.0,F5,77,96,960,2.0,raw_midi,,
44,3840,8.0,G5,79,96,960,2.0,raw_midi,,
45,3840,8.0,D6,86,106,960,2.0,raw_midi,,
46,4082,8.504166666667,G#4,68,71,132,0.275,raw_midi,,
47,4199,8.747916666667,G4,67,70,132,0.275,raw_midi,,
48,4318,8.995833333333,F4,65,79,132,0.275,raw_midi,,
49,4435,9.239583333333,D4,62,72,132,0.275,raw_midi,,
50,4561,9.502083333333,D#4,63,72,132,0.275,raw_midi,,
51,4683,9.75625,D4,62,70,132,0.275,raw_midi,,
52,4803,10.00625,B3,59,79,132,0.275,raw_midi,,
53,4920,10.25,G3,55,71,132,0.275,raw_midi,,
54,5038,10.495833333333,G#3,56,71,132,0.275,raw_midi,,
55,5164,10.758333333333,G3,55,68,132,0.275,raw_midi,,
56,5282,11.004166666667,F3,53,79,132,0.275,raw_midi,,
57,5405,11.260416666667,D3,50,72,132,0.275,raw_midi,,
58,5525,11.510416666667,D#3,51,72,132,0.275,raw_midi,,
59,5640,11.75,D3,50,70,132,0.275,raw_midi,,
60,5756,11.991666666667,B2,47,79,132,0.275,raw_midi,,
61,5880,12.25,G2,43,71,132,0.275,raw_midi,,
62,5997,12.49375,G#2,44,71,132,0.275,raw_midi,,
63,6124,12.758333333333,G2,43,70,132,0.275,raw_midi,,
64,6237,12.99375,F2,41,79,132,0.275,raw_midi,,
65,6363,13.25625,D2,38,71,132,0.275,raw_midi,,
66,6484,13.508333333333,D#2,39,71,132,0.275,raw_midi,,
67,6605,13.760416666667,D2,38,69,132,0.275,raw_midi,,
68,6725,14.010416666667,C2,36,79,158,0.329166666667,raw_midi,,
69,6841,14.252083333333,G1,31,72,158,0.329166666667,raw_midi,,
