Index,Start_Ticks,Start_Time,Pitch,Pitch_MIDI,Velocity,Duration_Ticks,Duration,Source,Slur_Category,Notes
0,4,0.008333333333,B4,71,94,960,2,raw_midi,4,
1,4,0.008333333333,D5,74,94,960,2,raw_midi,4,
2,4,0.008333333333,F5,77,94,960,2,raw_midi,4,
3,4,0.008333333333,G5,79,94,960,2,raw_midi,4,
4,4,0.008333333333,B5,83,103,960,2,raw_midi,4,
5,235,0.4895833333,G#4,68,73,132,0.275,raw_midi,1,
6,361,0.7520833333,G4,67,73,132,0.275,raw_midi,2,
7,477,0.99375,F4,65,79,132,0.275,raw_midi,2,
8,603,1.25625,D4,62,72,132,0.275,raw_midi,2,
9,721,1.502083333,D#4,63,72,132,0.275,raw_midi,2,
10,840,1.75,D4,62,71,132,0.275,raw_midi,2,
11,958,1.995833333,B3,59,79,132,0.275,raw_midi,2,
12,1084,2.258333333,G3,55,72,132,0.275,raw_midi,2,
13,1204,2.508333333,G#3,56,72,132,0.275,raw_midi,2,
14,1323,2.75625,G3,55,70,132,0.275,raw_midi,2,
15,1436,2.991666667,F3,53,79,132,0.275,raw_midi,2,
16,1564,3.258333333,D3,50,71,132,0.275,raw_midi,2,
17,1682,3.504166667,D#3,51,71,132,0.275,raw_midi,2,
18,1800,3.75,D3,50,68,132,0.275,raw_midi,2,
19,1918,3.995833333,B2,47,79,132,0.275,raw_midi,2,
20,2035,4.239583333,G2,43,71,132,0.275,raw_midi,2,
21,2156,4.491666667,G#2,44,71,132,0.275,raw_midi,2,
22,2279,4.747916667,G2,43,69,132,0.275,raw_midi,2,
23,2396,4.991666667,F2,41,79,132,0.275,raw_midi,2,
24,2516,5.241666667,D2,38,71,132,0.275,raw_midi,2,
25,2645,5.510416667,D#2,39,71,132,0.275,raw_midi,2,
26,2759,5.747916667,D2,38,68,132,0.275,raw_midi,2,
27,2876,5.991666667,C2,36,76,158,0.3291666667,raw_midi,2,
28,2995,6.239583333,G1,31,69,158,0.3291666667,raw_midi,2,
29,3115,6.489583333,C2,36,70,158,0.3291666667,raw_midi,2,
30,3239,6.747916667,G1,31,68,158,0.3291666667,raw_midi,2,
31,3360,7,C2,36,74,158,0.3291666667,raw_midi,2,
32,3360,7,G#4,68,93,360,0.75,raw_midi,1,
33,3360,7,D#5,75,93,360,0.75,raw_midi,1,
34,3360,7,F5,77,93,360,0.75,raw_midi,1,
35,3360,7,G#5,80,102,360,0.75,raw_midi,1,
36,3481,7.252083333,G1,31,71,158,0.3291666667,raw_midi,2,
37,3601,7.502083333,C2,36,75,158,0.3291666667,raw_midi,2,
38,3720,7.75,G4,67,87,120,0.25,raw_midi,3,
39,3720,7.75,G5,79,95,120,0.25,raw_midi,3,
40,3721,7.752083333,G1,31,74,132,0.275,raw_midi,2,
41,3836,7.991666667,B1,35,79,120,0.25,raw_midi,3,
42,3840,8,D5,74,96,960,2,raw_midi,4,
43,3840,8,F5,77,96,960,2,raw_midi,4,
44,3840,8,G5,79,96,960,2,raw_midi,4,
45,3840,8,D6,86,106,960,2,raw_midi,4,
46,4082,8.504166667,G#4,68,71,132,0.275,raw_midi,1,
47,4199,8.747916667,G4,67,70,132,0.275,raw_midi,2,
48,4318,8.995833333,F4,65,79,132,0.275,raw_midi,2,
49,4435,9.239583333,D4,62,72,132,0.275,raw_midi,2,
